"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Cart & Checkout Workflow","0","Cart Management","1","0","Remove Items","0"
"0","Cart & Checkout Workflow","0","Checkout Process","2","0","Address Verification","0"
"0","API Testing","0","Search API","1","0","Search with missing parameter","0"
"0","User Authentication & Account Management","0","Logout Functionality","2","0","Valid User Logout","0"
"0","Cart & Checkout Workflow","0","Checkout Process","2","0","Place Order (Login before Checkout)","0"
"0","API Testing","0","Login API","2","0","Verify valid login","0"
"0","User Authentication & Account Management","0","User Registration","2","0","Invalid Registration (Existing Email)","0"
"0","Communication & Marketing","0","Contact Support","2","0","Submit Contact Us Inquiry","0"
"0","Product Discovery & Interaction","0","Recommended Items","1","0","Add Recommended Item to Cart","0"
"0","User Authentication & Account Management","0","Login Functionality","2","0","Invalid User Login","0"
"0","Product Discovery & Interaction","0","Search Functionality","1","0","Search for Products","0"
"0","Communication & Marketing","0","Newsletter Subscription","2","0","Subscribe via Home Page","0"
"0","API Testing","0","Search API","1","0","Search with valid parameter","0"
"0","API Testing","0","Brands API","1","0","Retrieve All Brands","0"
"0","Product Discovery & Interaction","0","Brand Filtering","1","0","Navigate Brands","0"
"0","Cart & Checkout Workflow","0","Newsletter Subscription","2","0","Subscribe via Cart Page","0"
"0","Product Discovery & Interaction","0","Product Reviews","2","0","Submit a Review","0"
"0","Cart & Checkout Workflow","0","Cart Management","1","0","Modify Product Quantity","0"
"0","API Testing","0","Account API","2","0","Get User Details","0"
"0","Cart & Checkout Workflow","0","Cart Retention","2","0","Persist Cart After Login","0"
"0","Cart & Checkout Workflow","0","Checkout Process","2","0","Place Order (Register during Checkout)","0"
"0","User Authentication & Account Management","0","User Registration","2","0","Register User Flow","0"
"0","API Testing","0","Account API","2","0","Delete User Account","0"
"0","API Testing","0","Login API","2","0","Verify invalid login","0"
"0","Cart & Checkout Workflow","0","Order Management","2","0","Download Invoice","0"
"0","API Testing","0","Account API","2","0","Create User Account","0"
"0","User Authentication & Account Management","0","Login Functionality","2","0","Valid User Login","0"
"0","API Testing","0","Products API","1","0","Unsupported Methods - Products","0"
"0","API Testing","0","Brands API","1","0","Unsupported Methods - Brands","0"
"0","UI/UX & Site Navigation","0","Page Scrolling","1","0","Scroll Up with Arrow Button","0"
"0","Product Discovery & Interaction","0","Product Browsing","1","0","View Product Details","0"
"0","API Testing","0","Products API","1","0","Retrieve All Products","0"
"0","Cart & Checkout Workflow","0","Cart Management","1","0","Add Multiple Items to Cart","0"
"0","Cart & Checkout Workflow","0","Checkout Process","2","0","Place Order (Register before Checkout)","0"
"0","UI/UX & Site Navigation","0","Navigation","1","0","Access Test Cases Page","0"
"0","UI/UX & Site Navigation","0","Page Scrolling","1","0","Manual Scroll Up","0"
"0","API Testing","0","Login API","1","0","Unsupported Methods - Login","0"
"0","API Testing","0","Account API","2","0","Update User Account","0"
"0","Product Discovery & Interaction","0","Category Filtering","1","0","Navigate Categories","0"
"0","API Testing","0","Login API","1","0","Verify login with missing email","0"
